ticker,company,market,isin,source_bas_dt,open,high,low,close,change,day_change_pct,volume,trading_value,listed_shares,market_cap,data_vendor
047050,포스코인터내셔널,KOSPI,,20250314,57500.0,58800.0,55200.0,55700.0,-1300.0,-2.28,1359901.0,76678855350.0,175922788.0,9798899291600.0,krx-open-api
047810,한국항공우주,KOSPI,,20250314,85000.0,87400.0,84100.0,85700.0,1400.0,1.66,1249494.0,106905467950.0,97475107.0,8353616669900.0,krx-open-api
051900,LG생활건강,KOSPI,,20250314,326000.0,332500.0,323000.0,327000.0,0.0,0.0,21517.0,7046724250.0,15618197.0,5107150419000.0,krx-open-api
051910,LG화학,KOSPI,,20250314,242500.0,245500.0,230000.0,231000.0,-11500.0,-4.74,402574.0,94166285750.0,70592343.0,16306831233000.0,krx-open-api
052690,한전기술,KOSPI,,20250314,63800.0,64500.0,63200.0,64000.0,600.0,0.95,53076.0,3389093600.0,38220000.0,2446080000000.0,krx-open-api
055550,신한지주,KOSPI,,20250314,45400.0,46400.0,45200.0,45700.0,-150.0,-0.33,1036479.0,47575717700.0,503445325.0,23007451352500.0,krx-open-api
058470,리노공업,KOSDAQ,,20250314,208500.0,220000.0,208500.0,217000.0,9500.0,4.58,102234.0,22127416000.0,15242370.0,3307594290000.0,krx-open-api
058610,에스피지,KOSDAQ,,20250314,25000.0,26300.0,24850.0,25950.0,1000.0,4.01,344279.0,8860704150.0,22177360.0,575502492000.0,krx-open-api
062040,산일전기,KOSPI,,20250314,64200.0,65100.0,63800.0,64400.0,-500.0,-0.77,228631.0,14740336650.0,30445200.0,1960670880000.0,krx-open-api
064350,현대로템,KOSPI,,20250314,102400.0,103900.0,99500.0,101600.0,-2400.0,-2.31,1840362.0,187661412100.0,109142293.0,11088856968800.0,krx-open-api
064400,LG씨엔에스,KOSPI,,20250314,51700.0,52600.0,51300.0,51700.0,0.0,0.0,320626.0,16638794550.0,96885948.0,5009003511600.0,krx-open-api
064760,티씨케이,KOSDAQ,,20250314,87600.0,91900.0,87000.0,91200.0,4400.0,5.07,60918.0,5488637350.0,11675000.0,1064760000000.0,krx-open-api
066570,LG전자,KOSPI,,20250314,80900.0,82300.0,79900.0,80500.0,0.0,0.0,448426.0,36207414050.0,163647814.0,13173649027000.0,krx-open-api
066970,엘앤에프,KOSPI,,20250314,76100.0,77000.0,72500.0,73400.0,-2700.0,-3.55,390176.0,28929799900.0,36297174.0,2664212571600.0,krx-open-api
067310,하나마이크론,KOSDAQ,,20250314,10950.0,11630.0,10950.0,11570.0,640.0,5.86,1081897.0,12345739070.0,66271949.0,766766449930.0,krx-open-api
068270,셀트리온,KOSPI,,20250314,186600.0,188700.0,185300.0,186100.0,1500.0,0.81,521580.0,97609526350.0,214108119.0,39845520945900.0,krx-open-api
069960,현대백화점,KOSPI,,20250314,58900.0,59800.0,58500.0,59000.0,-200.0,-0.34,50290.0,2975451000.0,22628813.0,1335099967000.0,krx-open-api
071050,한국금융지주,KOSPI,,20250314,74600.0,74600.0,73500.0,73800.0,-800.0,-1.07,116463.0,8607653550.0,55725992.0,4112578209600.0,krx-open-api
071970,HD현대마린엔진,KOSPI,,20250314,28800.0,29200.0,28300.0,28500.0,-550.0,-1.89,538755.0,15422309475.0,33921495.0,966762607500.0,krx-open-api
078930,GS,KOSPI,,20250314,36750.0,37200.0,36600.0,36900.0,150.0,0.41,201730.0,7436830300.0,92915378.0,3428577448200.0,krx-open-api
079550,LIG넥스원,KOSPI,,20250314,280500.0,281500.0,274500.0,276000.0,-3500.0,-1.25,261921.0,72618725250.0,22000000.0,6072000000000.0,krx-open-api
082740,한화엔진,KOSPI,,20250314,23750.0,24000.0,23200.0,23350.0,-350.0,-1.48,976200.0,22830350000.0,83447142.0,1948490765700.0,krx-open-api
084370,유진테크,KOSDAQ,,20250314,40600.0,43750.0,40600.0,42850.0,2050.0,5.02,197355.0,8454606500.0,22916042.0,981952399700.0,krx-open-api
086280,현대글로비스,KOSPI,,20250314,121800.0,121800.0,119600.0,121300.0,400.0,0.33,100509.0,12109084350.0,75000000.0,9097500000000.0,krx-open-api
086520,에코프로,KOSDAQ,,20250314,57700.0,59800.0,56600.0,59800.0,2400.0,4.18,839738.0,48919496850.0,133138340.0,7961672732000.0,krx-open-api
086790,하나금융지주,KOSPI,,20250314,60500.0,61300.0,60000.0,60100.0,-1500.0,-2.44,1107925.0,67089030700.0,287240880.0,17263176888000.0,krx-open-api
087010,펩트론,KOSDAQ,,20250314,88700.0,90600.0,86500.0,88000.0,-500.0,-0.56,262586.0,23243264050.0,23297350.0,2050166800000.0,krx-open-api
088350,한화생명,KOSPI,,20250314,2720.0,2745.0,2655.0,2660.0,-80.0,-2.92,1112313.0,2977789586.0,868530000.0,2310289800000.0,krx-open-api
090430,아모레퍼시픽,KOSPI,,20250314,111900.0,113600.0,111100.0,112600.0,0.0,0.0,143705.0,16169336200.0,58492759.0,6586284663400.0,krx-open-api
095340,ISC,KOSDAQ,,20250314,60300.0,62300.0,60000.0,61700.0,1900.0,3.18,152688.0,9429219500.0,21197058.0,1307858478600.0,krx-open-api
096770,SK이노베이션,KOSPI,,20250314,137500.0,137500.0,130800.0,132000.0,-7200.0,-5.17,331659.0,44163951300.0,151034776.0,19936590432000.0,krx-open-api
097950,CJ제일제당,KOSPI,,20250314,250500.0,253000.0,248000.0,250500.0,0.0,0.0,55717.0,13928961750.0,15054186.0,3771073593000.0,krx-open-api
098460,고영,KOSDAQ,,20250314,16440.0,17410.0,16370.0,17160.0,720.0,4.38,3147936.0,53789311600.0,68654755.0,1178115595800.0,krx-open-api
100790,미래에셋벤처투자,KOSDAQ,,20250314,4700.0,4780.0,4700.0,4770.0,40.0,0.85,63437.0,300918107.0,53124634.0,253404504180.0,krx-open-api
103590,일진전기,KOSPI,,20250314,27150.0,28075.0,26900.0,27900.0,800.0,2.95,418320.0,11595085575.0,47685390.0,1330422381000.0,krx-open-api
105560,KB금융,KOSPI,,20250314,77500.0,80000.0,77100.0,78300.0,-300.0,-0.38,1596060.0,125372202005.0,393528423.0,30813275520900.0,krx-open-api
108490,로보티즈,KOSDAQ,,20250314,36500.0,38450.0,36400.0,37250.0,650.0,1.78,1426588.0,53498084000.0,13207510.0,491979747500.0,krx-open-api
111770,영원무역,KOSPI,,20250314,46950.0,47400.0,46250.0,47250.0,100.0,0.21,41748.0,1959731225.0,44311468.0,2093716863000.0,krx-open-api
112610,씨에스윈드,KOSPI,,20250314,36900.0,37100.0,36100.0,36500.0,-650.0,-1.75,119271.0,4353931200.0,42171403.0,1539256209500.0,krx-open-api
128940,한미약품,KOSPI,,20250314,243000.0,247500.0,241000.0,245000.0,3000.0,1.24,30574.0,7503067250.0,12810991.0,3138692795000.0,krx-open-api
131970,두산테스나,KOSDAQ,,20250314,27700.0,30400.0,27700.0,30300.0,2650.0,9.58,341896.0,10055133600.0,19327238.0,585615311400.0,krx-open-api
138930,BNK금융지주,KOSPI,,20250314,10290.0,10530.0,10230.0,10490.0,170.0,1.65,949222.0,9884493175.0,318383519.0,3339843114310.0,krx-open-api
139130,DGB금융지주,KOSPI,,20250314,8790.0,8930.0,8760.0,8870.0,30.0,0.34,206000.0,1829126070.0,166392833.0,1475904428710.0,krx-open-api
139480,이마트,KOSPI,,20250314,84600.0,85000.0,82900.0,84100.0,900.0,1.08,110458.0,9268428150.0,27875819.0,2344356377900.0,krx-open-api
140410,메지온,KOSDAQ,,20250314,27500.0,28200.0,27250.0,27500.0,200.0,0.73,76505.0,2116259825.0,29963337.0,823991767500.0,krx-open-api
141080,리가켐바이오,KOSDAQ,,20250314,102700.0,107700.0,102000.0,103300.0,600.0,0.58,368846.0,38782221450.0,36610338.0,3781847915400.0,krx-open-api
145020,휴젤,KOSDAQ,,20250314,332500.0,337500.0,329500.0,330000.0,-500.0,-0.15,27349.0,9079815250.0,12604033.0,4159330890000.0,krx-open-api
161390,한국타이어앤테크놀로지,KOSPI,,20250314,40550.0,40550.0,39900.0,40200.0,-500.0,-1.23,252987.0,10178657500.0,123875069.0,4979777773800.0,krx-open-api
175330,JB금융지주,KOSPI,,20250314,16490.0,16790.0,16270.0,16710.0,290.0,1.77,389325.0,6472121220.0,193907972.0,3240202212120.0,krx-open-api
178320,서진시스템,KOSDAQ,,20250314,22250.0,22650.0,21950.0,22450.0,100.0,0.45,209580.0,4688745325.0,56247954.0,1262766567300.0,krx-open-api
180640,한진칼,KOSPI,,20250314,85000.0,85000.0,80800.0,81100.0,-1600.0,-1.93,46358.0,3797633500.0,66762279.0,5414420826900.0,krx-open-api
196170,알테오젠,KOSDAQ,,20250314,379000.0,403000.0,372500.0,392000.0,17000.0,4.53,1029691.0,404838296000.0,53318828.0,20900980576000.0,krx-open-api
