ticker,company,market,market_cap,source_bas_dt
097950,CJ제일제당,KOSPI,3251704176000.0,20260519
028670,팬오션,KOSPI,3234145547600.0,20260519
100790,미래에셋벤처투자,KOSDAQ,3229977747200.0,20260519
302440,SK바이오사이언스,KOSPI,3208873017700.0,20260519
214150,클래시스,KOSDAQ,3180238376250.0,20260519
214450,파마리서치,KOSDAQ,3168842640000.0,20260519
067310,하나마이크론,KOSDAQ,3160373946300.0,20260519
131970,두산테스나,KOSDAQ,3138743451200.0,20260519
357780,솔브레인,KOSDAQ,3119204966000.0,20260519
064760,티씨케이,KOSDAQ,3096698232000.0,20260519
226950,올릭스,KOSDAQ,3069448149600.0,20260519
383220,F&F,KOSPI,3026258925000.0,20260519
263750,펄어비스,KOSDAQ,3019649185000.0,20260519
375500,DL이앤씨,KOSPI,3018102594000.0,20260519
319660,피에스케이,KOSDAQ,3000951570400.0,20260519
005290,동진쎄미켐,KOSDAQ,2961474854400.0,20260519
020150,롯데에너지머티리얼즈,KOSPI,2953412113200.0,20260519
139130,iM금융지주,KOSPI,2944248606390.0,20260519
005850,에스엘,KOSPI,2903032500000.0,20260519
457190,이수스페셜티케미컬,KOSPI,2873814727200.0,20260519
001720,신영증권,KOSPI,2867136000000.0,20260519
032820,우리기술,KOSDAQ,2835065392740.0,20260519
004990,롯데지주,KOSPI,2730787462400.0,20260519
012750,에스원,KOSPI,2709341391400.0,20260519
483650,달바글로벌,KOSPI,2707895720000.0,20260519
007340,DN오토모티브,KOSPI,2694425333250.0,20260519
237690,에스티팜,KOSDAQ,2680529012200.0,20260519
347850,디앤디파마텍,KOSDAQ,2672052967000.0,20260519
009970,영원무역홀딩스,KOSPI,2670149078600.0,20260519
084370,유진테크,KOSDAQ,2633053225800.0,20260519
439260,대한조선,KOSPI,2592820797600.0,20260519
139480,이마트,KOSPI,2582968658400.0,20260519
006360,GS건설,KOSPI,2563165625500.0,20260519
001430,세아베스틸지주,KOSPI,2560555296600.0,20260519
026960,동서,KOSPI,2557305000000.0,20260519
204320,HL만도,KOSPI,2540380192000.0,20260519
071970,HD현대마린엔진,KOSPI,2533935676500.0,20260519
031980,피에스케이홀딩스,KOSDAQ,2512019017500.0,20260519
043260,성호전자,KOSDAQ,2503575651900.0,20260519
218410,RFHIC,KOSDAQ,2493368203800.0,20260519
058610,에스피지,KOSDAQ,2450598280000.0,20260519
229640,LS에코에너지,KOSPI,2440802856300.0,20260519
069960,현대백화점,KOSPI,2423545872300.0,20260519
000155,두산우,KOSPI,2373898428000.0,20260519
098460,고영,KOSDAQ,2372021785250.0,20260519
008930,한미사이언스,KOSPI,2287697347500.0,20260519
008770,호텔신라,KOSPI,2252842145400.0,20260519
140410,메지온,KOSDAQ,2166961507100.0,20260519
112610,씨에스윈드,KOSPI,2163392973900.0,20260519
030530,원익홀딩스,KOSDAQ,1961844717400.0,20260519
017960,한국카본,KOSPI,1895099250000.0,20260519
