ticker,company,result,net_return_pct,signal_hhmm,opening_width_pct,entry_vs_opening_high_pct,signal_close_vs_vwap_pct,volume_ratio,cum_value_bil,pre_signal_low_vs_opening_high_pct,rank,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct
062040,산일전기,stop_loss,-1.5,918,2.145922746781115,0.1680672268907557,0.9759389657955753,2.2562375925909732,15.1942705,-2.1008403361344574,1.0,68.79,4.0,0.0,2.4,93.2,4.93,1.91,-11.15,0.512
101490,에스앤에스텍,stop_loss,-1.5,932,2.452830188679256,-0.18416206261510082,0.9318259420075581,1.673852123302436,2.0135506,-2.3941068139963217,1.0,65.4,7.57,0.0,1.77,92.9,7.78,5.06,-6.41,0.37
204620,글로벌텍스프리,target_hit,1.2,932,2.110389610389607,-0.31796502384737746,0.8414751523528663,4.1456839212665635,2.526073125,-2.5437201907790197,1.0,62.75,7.3,-0.63,1.83,92.6,8.59,7.3,-19.28,-0.949
071970,HD현대마린엔진,stop_loss,-1.5,928,2.807017543859658,-0.6825938566552892,0.6028170428677759,3.383301162265391,4.2736718,-2.7303754266211566,2.0,62.6,6.63,0.0,1.52,92.3,7.28,5.87,-8.11,-0.679
062040,산일전기,stop_loss,-1.5,930,2.1079258010118007,0.3303055326176807,1.5501131906494825,2.039255671679837,22.8088209,-2.064409578860449,1.0,74.81,11.1,1.14,1.88,96.8,11.0,9.1,-8.12,-0.083
015760,한국전력,stop_loss,-1.5,912,1.2594458438287104,-0.24875621890547706,0.35710387749807726,1.6096998837163725,17.3461206,-1.243781094527363,2.0,74.25,4.38,1.14,2.15,91.8,6.06,5.35,-7.3,0.0
025980,아난티,time_exit,0.11,939,1.848049281314168,-0.6048387096774244,0.7054318312789132,2.321971178434971,4.23989524,-2.4193548387096753,1.0,56.87,6.63,0.25,2.33,91.2,3.26,0.2,-10.41,-0.612
000880,한화,target_hit,1.2,936,2.5974025974025983,-0.9493670886076,0.9074534016445979,1.5707783872097096,8.1942562,-3.3755274261603407,1.0,75.62,5.84,0.6,2.1,98.7,8.59,4.68,-6.06,-2.081
196170,알테오젠,stop_loss,-1.5,934,1.8947368421052602,-0.4132231404958664,0.2313496928957104,1.5267821269216943,51.90413575,-1.8595041322314043,2.0,68.42,8.41,0.0,2.05,93.1,9.14,7.92,-8.6,0.103
004800,효성,target_hit,1.2,937,3.4259857789269654,-0.187499999999996,2.2832554029391217,6.278882487765595,9.7270141,-4.3124999999999964,1.0,70.52,8.81,1.95,1.54,92.6,8.41,8.33,-11.54,0.0
