source_bas_dt,ticker,foreign_net_buy_value,institution_net_buy_value,retail_net_buy_value,source,updated_at
20260511,001720,-1888670550.0,727180750.0,1122517100.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,002380,-3990287500.0,215073000.0,3804173500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003000,442927480.0,-80653335.0,-372228135.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003230,-19601344000.0,4817620500.0,12841838000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003280,1170490266.0,-21119925.0,-1223761716.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003310,348715050.0,-18600.0,-348696450.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003490,-9247880975.0,-8159258550.0,17059691875.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003550,2361739050.0,-7466476050.0,5464368750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,003670,8818815000.0,-2625678500.0,-6757662000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,004020,5179078150.0,566544800.0,-5145534850.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,004170,4536378000.0,-5604965000.0,987535250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,004370,34086750.0,-1298529000.0,1270440750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000040,2137350.0,524941.0,-1634515.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000150,26264751500.0,-22534127500.0,-4081345000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000155,2078332000.0,1501178500.0,-3491778500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000250,-2990231750.0,1417729750.0,505213500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000270,-104826117250.0,28597594300.0,76912528100.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000390,106410265.0,-928245.0,-159758060.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000660,-3109269819500.0,-910002412500.0,3975946740000.0,pykrx-krx,2026-05-19T08:01:09+09:00
